,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
543,1289,38,white,single,0,16.0,college grad,0,SMSA,0,Manufacturing,Craftsmen,nonunion,10.719064,48.0,12.410256,9.416667
544,1292,43,black,single,0,12.0,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,4.025765,40.0,8.955129,0.16666667
545,1304,43,white,married,0,15.0,not college grad,0,SMSA,0,Personal Services,Managers/admin,nonunion,5.5072436,45.0,9.615385,6.25
546,1309,42,white,married,0,16.0,college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,3.904991,20.0,12.903847,3.25
547,1313,41,white,single,0,18.0,college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,12.777775,40.0,10.076923,1.6666666
548,1320,43,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,,4.025765,3.0,2.5192308,0.0
549,1322,35,white,married,0,14.0,not college grad,1,nonSMSA,0,Professional Services,Managers/admin,nonunion,7.4476643,40.0,11.0,0.33333334
550,1325,35,white,single,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.1867933,40.0,8.326923,0.16666667
551,1330,41,white,single,0,12.0,not college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,6.964568,40.0,10.980769,9.416667
552,1339,41,white,married,0,12.0,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,nonunion,8.05153,30.0,13.884615,10.666667
553,1340,43,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,,5.852843,28.0,4.576923,1.0
554,1345,36,white,single,0,12.0,not college grad,0,SMSA,0,Personal Services,Managers/admin,,22.970337,70.0,11.179486,4.5
555,1349,37,black,single,0,14.0,not college grad,0,SMSA,1,Transport/Comm/Utility,Operatives,union,9.017712,44.0,7.5961537,5.75
556,1355,35,black,married,0,15.0,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,9.29146,40.0,15.833333,15.833333
557,1358,42,white,married,0,12.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,10.32206,60.0,12.1410265,2.0833333
558,1361,41,white,married,0,17.0,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,17.02898,40.0,17.884615,2.1666667
559,1362,38,white,married,0,14.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Operatives,nonunion,3.220612,16.0,5.2628202,1.0
560,1364,39,white,married,0,16.0,college grad,0,SMSA,1,Professional Services,Managers/admin,nonunion,13.937197,50.0,17.153847,3.0
561,1366,42,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,,3.3444817,33.0,14.339743,1.3333334
562,1367,43,white,married,0,15.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.025765,40.0,13.666667,13.666667
563,1370,34,white,single,0,15.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,8.904991,40.0,11.288462,11.25
564,1371,36,white,married,0,14.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,8.856684,35.0,10.5,10.5
565,1373,43,black,married,0,11.0,not college grad,0,SMSA,1,Professional Services,Sales,union,12.753378,40.0,14.1410265,6.8333335
566,1376,39,black,single,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,5.434783,40.0,13.217948,0.33333334
567,1379,43,black,single,1,12.0,not college grad,0,SMSA,1,Public Administration,Sales,nonunion,10.12882,40.0,16.442307,10.916667
568,1380,37,black,single,0,11.0,not college grad,0,SMSA,1,Manufacturing,Operatives,union,8.011269,40.0,15.346154,9.75
569,1381,44,black,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Operatives,union,11.272142,40.0,21.0,20.916666
570,1384,43,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.220612,20.0,5.173077,2.3333333
571,1385,38,white,single,0,15.0,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,6.1996756,60.0,12.955129,0.6666667
572,1386,35,white,married,0,11.0,not college grad,0,SMSA,0,Personal Services,Laborers,,3.7625415,32.0,4.4423075,0.16666667
573,1389,37,white,married,0,11.0,not college grad,1,nonSMSA,0,Manufacturing,Operatives,,3.0518394,40.0,5.8076925,0.5833333
574,1394,42,white,single,0,18.0,college grad,0,SMSA,0,Manufacturing,Craftsmen,union,9.500801,44.0,15.903846,15.083333
575,1396,41,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Other,union,16.25603,40.0,18.833334,18.833334
576,1398,36,black,single,0,17.0,college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,11.457324,50.0,15.615385,12.833333
577,1408,37,black,married,0,16.0,college grad,0,SMSA,1,Professional Services,Other,union,14.573262,34.0,12.935898,5.8333335
578,1411,40,white,married,0,12.0,not college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,3.220612,30.0,16.089743,1.8333334
579,1415,38,white,married,0,16.0,college grad,0,SMSA,1,Personal Services,Laborers,,9.677936,8.0,11.692307,3.9166667
580,1418,40,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,5.925924,40.0,8.814103,3.75
581,1420,40,black,single,1,12.0,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,union,8.816422,40.0,17.403847,15.083333
582,1426,37,white,single,1,12.0,not college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,4.830918,40.0,5.185898,3.0
583,1427,36,white,married,0,12.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.58132,40.0,10.621796,3.0
584,1428,42,white,single,0,18.0,college grad,0,SMSA,1,Professional Services,Other,union,19.434166,40.0,15.634616,7.25
585,1434,42,white,single,0,11.0,not college grad,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.0017905,24.0,2.4294872,0.25
586,1435,44,white,married,0,15.0,not college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,8.904991,40.0,13.698718,2.25
587,1436,43,white,single,0,16.0,college grad,1,SMSA,0,Professional Services,Other,nonunion,4.2592573,40.0,7.7051277,0.9166667
588,1437,44,white,single,0,18.0,college grad,0,SMSA,0,Professional Services,Other,union,13.003217,50.0,8.711538,4.8333335
589,1441,39,white,single,0,13.0,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,5.6360707,42.0,15.923077,2.5
590,1448,37,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,union,3.6634455,40.0,7.5384617,2.8333333
591,1453,39,white,single,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,,38.70926,40.0,10.089744,2.75
592,1462,42,black,single,0,16.0,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,8.671494,50.0,15.557693,4.3333335
593,1465,35,white,single,0,12.0,not college grad,0,SMSA,0,Public Administration,Sales,,6.336553,40.0,15.012821,1.25
594,1469,39,white,married,0,12.0,not college grad,0,SMSA,1,Business/Repair Svc,Sales,,4.180602,15.0,16.846153,0.6666667
595,1470,36,white,single,1,18.0,college grad,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,8.05153,50.0,11.442307,1.5
596,1471,35,white,married,0,17.0,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.723026,25.0,15.064102,12.75
597,1475,36,black,married,0,18.0,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.745568,40.0,13.820513,0.0
598,1478,38,white,married,0,8.0,not college grad,0,SMSA,1,Manufacturing,Operatives,,3.3444817,40.0,5.6538463,1.1666666
599,1479,43,white,married,0,16.0,college grad,0,SMSA,1,Professional Services,Other,nonunion,6.634459,35.0,14.852565,13.666667
600,1480,41,white,single,1,16.0,college grad,0,SMSA,1,Transport/Comm/Utility,Managers/admin,nonunion,20.64412,45.0,19.051281,9.0
601,1482,38,white,married,0,12.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,5.1046667,23.0,9.9423065,4.0
602,1484,36,white,married,0,17.0,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,16.25603,40.0,13.903846,7.0833335
603,1486,40,white,single,1,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.782608,32.0,13.538462,6.4166665
604,1490,39,white,single,0,18.0,college grad,0,nonSMSA,0,Public Administration,Managers/admin,union,13.164245,40.0,16.01923,1.9166666
605,1492,39,white,single,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,12.007685,40.0,14.403846,0.33333334
606,1494,38,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Operatives,union,8.05153,40.0,16.134615,16.0
607,1499,35,white,married,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.9114323,40.0,13.519231,3.8333333
608,1500,35,white,married,0,12.0,not college grad,1,SMSA,1,Wholesale/Retail Trade,Service,,2.801002,40.0,11.929487,1.9166666
609,1505,43,white,single,0,16.0,college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,8.518515,40.0,18.038462,9.5
610,1506,38,white,married,0,13.0,not college grad,1,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,5.2818017,40.0,6.628205,1.25
611,1507,40,white,single,1,18.0,college grad,1,nonSMSA,0,Manufacturing,Professional/technical,nonunion,10.217388,40.0,14.288462,11.083333
612,1508,35,white,married,0,17.0,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.942026,40.0,14.564102,13.0
613,1515,44,white,married,0,16.0,college grad,0,SMSA,0,Professional Services,Sales,union,6.231882,25.0,4.4038463,2.1666667
614,1519,44,white,married,0,16.0,college grad,0,nonSMSA,0,Public Administration,Sales,,4.598662,40.0,8.576923,0.9166667
615,1520,41,white,married,0,12.0,not college grad,1,SMSA,1,Manufacturing,Managers/admin,nonunion,11.884054,43.0,18.423077,7.1666665
616,1522,36,white,married,0,12.0,not college grad,0,SMSA,1,Business/Repair Svc,Sales,,5.434783,15.0,5.230769,0.25
617,1523,36,white,married,0,12.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,6.441224,40.0,15.878206,12.833333
618,1525,43,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,,4.4137006,35.0,7.769231,0.75
619,1526,42,white,married,0,11.0,not college grad,0,SMSA,0,Personal Services,Transport,nonunion,3.3011258,30.0,2.121795,0.75
620,1529,38,white,married,0,13.0,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,5.9983873,40.0,17.134615,5.0
621,1530,38,white,single,0,10.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,11.195651,28.0,6.6346154,4.0
622,1531,36,white,married,0,10.0,not college grad,0,SMSA,1,Manufacturing,Clerical/unskilled,nonunion,2.3027365,35.0,4.076923,1.4166666
623,1540,39,white,married,0,12.0,not college grad,1,SMSA,1,Professional Services,Professional/technical,,9.197324,16.0,14.057693,5.5833335
624,1542,43,white,married,0,12.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.3880816,40.0,14.916666,4.4166665
625,1543,43,white,married,0,18.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,union,10.450882,40.0,7.064102,3.8333333
626,1545,38,white,married,0,16.0,college grad,0,SMSA,1,Professional Services,Sales,nonunion,4.420288,7.0,11.038462,1.3333334
627,1557,39,white,married,0,12.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,nonunion,5.611914,40.0,13.865385,0.75
628,1558,36,white,married,0,12.0,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,4.8872786,40.0,13.0,5.8333335
629,1559,35,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,union,6.714973,40.0,17.487177,9.583333
630,1561,35,white,married,0,14.0,not college grad,0,SMSA,0,Business/Repair Svc,Managers/admin,nonunion,7.801928,40.0,11.076923,10.583333
631,1562,42,white,married,0,14.0,not college grad,1,SMSA,1,Professional Services,Sales,nonunion,6.223832,55.0,16.442308,4.25
632,1563,39,white,married,0,18.0,college grad,0,SMSA,1,Professional Services,Other,union,6.70692,60.0,13.435897,2.75
633,1564,41,white,single,0,16.0,college grad,1,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,6.159419,40.0,12.576923,6.9166665
634,1565,39,white,single,0,13.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,12.38325,45.0,15.192307,1.4166666
635,1566,39,black,single,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,4.025765,40.0,11.128204,3.75
636,1572,40,white,single,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Sales,,4.8274837,40.0,16.48077,9.166667
637,1577,41,black,married,0,15.0,not college grad,0,SMSA,1,Personal Services,Sales,nonunion,3.2850225,24.0,6.2307696,
638,1578,37,black,single,0,14.0,not college grad,1,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,,38.70926,40.0,12.538461,1.5833334
639,1580,38,white,married,0,12.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,,5.852843,50.0,4.4615383,1.25
640,1582,40,black,married,0,18.0,college grad,0,SMSA,1,Professional Services,Other,union,15.09662,40.0,14.166666,8.75
641,1583,39,black,married,0,17.0,college grad,0,SMSA,1,Professional Services,Other,nonunion,6.634459,35.0,16.173077,9.75
642,1585,36,black,married,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,,4.703177,40.0,7.5833335,0.6666667
643,1588,43,white,married,0,13.0,not college grad,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,4.025765,24.0,10.083334,0.16666667
644,1591,36,white,single,0,14.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.2640896,42.0,8.942307,1.5833334
645,1595,41,white,married,0,14.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,7.536226,38.0,14.980769,7.4166665
646,1596,39,white,married,0,12.0,not college grad,0,SMSA,1,Professional Services,Sales,nonunion,5.410626,32.0,20.596153,20.583334
647,1598,44,white,single,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.3977435,36.0,7.5641026,2.0833333
648,1599,42,white,married,0,16.0,college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,12.38325,50.0,18.429485,11.166667
649,1600,42,white,married,0,11.0,not college grad,0,SMSA,0,Personal Services,Operatives,nonunion,3.6231885,53.0,15.198717,3.4166667
650,1603,45,white,married,0,7.0,not college grad,0,nonSMSA,0,Professional Services,Laborers,nonunion,3.711753,38.0,3.9102564,1.75
651,1604,37,white,married,0,12.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,3.7037024,40.0,7.0384617,3.5833333
652,1607,39,white,married,0,14.0,not college grad,0,nonSMSA,0,Construction,Sales,nonunion,8.05153,38.0,16.346153,1.3333334
653,1613,38,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,4.6698866,20.0,8.782051,2.8333333
654,1614,42,white,married,0,12.0,not college grad,1,SMSA,1,Entertainment/Rec Svc,Sales,nonunion,3.3444817,40.0,3.3910255,1.0
655,1616,40,white,married,0,15.0,not college grad,0,nonSMSA,0,Professional Services,Other,nonunion,7.0048285,22.0,10.423077,6.4166665
656,1618,34,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,4.7504005,40.0,10.134616,9.583333
657,1620,45,white,single,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Sales,,2.4916961,5.0,9.288462,
658,1622,37,white,married,0,16.0,college grad,0,nonSMSA,0,Professional Services,Other,union,3.3091762,20.0,14.038462,1.5833334
659,1623,41,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,4.5491123,40.0,9.615385,6.0
660,1624,39,white,married,0,16.0,college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,10.732684,15.0,10.576923,2.4166667
661,1625,37,white,married,0,16.0,college grad,0,nonSMSA,0,,Professional/technical,nonunion,6.086955,40.0,8.570513,0.8333333
662,1626,35,white,single,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,3.9855046,45.0,15.923077,10.25
663,1628,35,white,single,1,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,union,6.6889634,10.0,7.980769,2.0
664,1630,39,white,single,0,12.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Laborers,,3.3444817,3.0,12.134615,5.0
665,1631,39,white,married,0,13.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.227053,32.0,10.615384,3.6666667
666,1635,44,white,single,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.220612,24.0,8.070513,2.6666667
667,1636,40,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,nonunion,4.227053,8.0,9.76282,0.5833333
668,1638,41,white,married,0,13.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.872784,26.0,7.647436,4.3333335
669,1641,36,white,married,0,16.0,college grad,0,SMSA,1,Personal Services,Laborers,,3.0518394,15.0,10.980769,0.9166667
670,1644,36,white,married,0,16.0,college grad,0,nonSMSA,0,Public Administration,Professional/technical,nonunion,9.371979,38.0,18.26923,14.833333
671,1645,35,white,married,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,3.7198057,40.0,10.692307,4.6666665
672,1646,37,white,single,1,12.0,not college grad,0,nonSMSA,0,Personal Services,Transport,nonunion,2.657004,35.0,11.288462,3.4166667
673,1647,37,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,3.9855046,20.0,6.923077,3.75
674,1648,35,white,married,0,16.0,college grad,0,nonSMSA,0,Professional Services,Other,union,8.904991,40.0,14.826922,8.833333
675,1649,42,white,married,0,16.0,college grad,1,SMSA,0,Business/Repair Svc,Professional/technical,,13.377926,36.0,16.038462,2.6666667
676,1650,40,white,single,0,11.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Farm laborers,nonunion,2.8582926,40.0,2.6730769,0.16666667
677,1651,41,white,married,0,15.0,not college grad,0,nonSMSA,0,Professional Services,Laborers,,5.3511686,20.0,12.660256,0.33333334
678,1653,35,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,9.734298,50.0,16.070513,10.5
679,1654,38,white,married,0,16.0,college grad,1,SMSA,0,Business/Repair Svc,Other,nonunion,10.217388,50.0,16.833334,3.0
680,1655,40,white,married,0,13.0,not college grad,0,SMSA,0,Public Administration,Managers/admin,union,13.969397,45.0,19.551283,19.5
681,1656,40,white,single,1,12.0,not college grad,0,SMSA,1,Professional Services,Laborers,union,6.779387,40.0,19.666666,19.666666
682,1659,41,white,single,1,17.0,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,12.971002,40.0,16.320513,4.5
683,1664,38,white,married,0,17.0,college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,20.64412,60.0,13.467948,8.333333
684,1669,35,white,married,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,10.104667,36.0,16.064102,13.416667
685,1671,35,white,single,1,9.0,not college grad,0,nonSMSA,0,Personal Services,Laborers,nonunion,3.3444817,32.0,1.3269231,0.083333336
686,1674,42,white,married,0,12.0,not college grad,0,SMSA,1,Public Administration,Managers/admin,nonunion,6.5780983,40.0,15.173077,3.75
687,1675,42,white,single,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.830918,40.0,10.826923,9.833333
688,1683,35,white,married,0,17.0,college grad,0,SMSA,0,Professional Services,Sales,nonunion,18.19645,2.0,11.8076935,3.3333333
689,1686,35,white,married,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,6.441224,2.0,8.692307,6.0833335
690,1688,36,white,single,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Laborers,,5.0167227,32.0,9.192307,3.5
691,1689,39,white,single,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,,2.801002,40.0,13.75,0.41666666
692,1690,37,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.3444817,30.0,12.115385,2.8333333
693,1691,35,white,married,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,5.917873,38.0,18.73077,11.75
694,1693,40,white,married,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Other,nonunion,5.072463,30.0,8.756411,1.75
695,1697,37,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,,3.0991251,60.0,14.448719,1.75
696,1701,36,white,married,0,11.0,not college grad,0,SMSA,0,Construction,Sales,nonunion,5.2334948,40.0,10.153846,0.75
697,1702,35,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,,2.801002,30.0,6.5769234,0.16666667
698,1703,45,white,single,0,13.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,4.8792253,40.0,12.961538,1.75
699,1707,38,white,married,0,9.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,7.149757,39.0,11.461538,4.4166665
700,1710,40,white,single,0,18.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.599029,45.0,14.833333,14.833333
701,1712,40,white,married,0,13.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,3.6634455,40.0,8.826923,2.4166667
702,1713,38,white,married,0,8.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Laborers,,6.0386477,40.0,6.3461537,1.5833334
703,1714,35,white,married,0,14.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,,5.7483277,40.0,13.173077,6.9166665
704,1716,35,white,married,0,16.0,college grad,0,SMSA,1,Professional Services,Professional/technical,,6.6889634,40.0,14.9743595,7.8333335
705,1719,39,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.9243145,50.0,18.25,15.833333
706,1721,40,white,married,0,13.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.5088553,42.0,17.358974,5.0
707,1724,40,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Other,nonunion,12.222217,38.0,17.673077,9.25
708,1725,42,white,married,0,16.0,college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,15.48309,40.0,19.442307,6.3333335
709,1729,38,white,married,0,15.0,not college grad,0,nonSMSA,0,Professional Services,Managers/admin,nonunion,3.8244765,40.0,11.884616,4.0833335
710,1732,34,white,single,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,,2.8180354,32.0,6.532051,0.33333334
711,1737,41,white,single,0,12.0,not college grad,0,nonSMSA,0,Finance/Ins/Real Estate,Sales,nonunion,4.7504005,37.0,15.557693,10.416667
712,1738,40,white,married,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Laborers,nonunion,3.5829282,20.0,14.910255,1.75
713,1740,44,white,married,0,12.0,not college grad,0,nonSMSA,0,Public Administration,Laborers,nonunion,3.6231885,15.0,13.461538,5.8333335
714,1742,39,white,single,0,18.0,college grad,0,SMSA,0,Professional Services,Sales,,8.361203,20.0,15.378205,0.9166667
715,1743,41,white,married,0,12.0,not college grad,1,SMSA,0,Manufacturing,Managers/admin,nonunion,8.446053,55.0,16.826923,3.75
716,1746,42,white,single,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,17.665049,40.0,18.23077,5.25
717,1748,43,white,single,1,16.0,college grad,0,nonSMSA,0,Professional Services,Other,union,8.357487,50.0,20.333334,20.333334
718,1749,36,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,5.2495947,23.0,4.480769,2.75
719,1750,44,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,6.8840547,45.0,4.9358974,1.5
720,1752,34,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Laborers,,4.830918,20.0,7.1217947,0.75
721,1754,42,white,married,0,16.0,college grad,1,SMSA,0,Public Administration,Professional/technical,nonunion,10.483089,35.0,12.942307,5.0833335
722,1755,35,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.6360707,40.0,11.192307,8.833333
723,1758,40,white,married,0,12.0,not college grad,1,SMSA,1,Public Administration,Managers/admin,nonunion,7.3510447,40.0,12.538462,5.8333335
724,1759,40,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Craftsmen,nonunion,5.2737517,50.0,8.2756405,4.25
725,1760,36,white,married,0,16.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.988295,40.0,11.769231,0.5
726,1761,36,white,single,1,17.0,college grad,0,nonSMSA,0,Professional Services,Other,union,4.9033785,55.0,13.916667,13.916667
727,1762,38,white,single,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Craftsmen,nonunion,3.79227,35.0,7.884615,2.6666667
728,1763,39,white,single,1,18.0,college grad,0,SMSA,0,Business/Repair Svc,Clerical/unskilled,nonunion,4.025765,20.0,16.634615,0.0
729,1764,38,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,11.151368,40.0,13.038462,4.1666665
730,1765,43,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,4.6698866,32.0,12.211538,8.75
731,1767,36,white,married,0,17.0,college grad,0,SMSA,0,,,nonunion,3.0193238,16.0,6.160257,3.25
732,1769,38,white,single,1,14.0,not college grad,0,nonSMSA,0,Manufacturing,Sales,nonunion,12.38325,40.0,20.833334,20.833334
733,1770,37,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,5.8615127,40.0,17.903847,17.75
734,1776,38,white,married,0,15.0,not college grad,0,nonSMSA,0,Public Administration,Operatives,,40.198082,40.0,15.711538,7.1666665
735,1777,40,white,married,0,11.0,not college grad,0,nonSMSA,0,Manufacturing,Sales,union,13.550715,40.0,16.583334,16.583334
736,1778,44,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Craftsmen,union,10.628017,48.0,19.833334,19.833334
737,1779,38,white,married,0,16.0,college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.6763277,30.0,14.75,14.75
738,1780,43,white,married,0,12.0,not college grad,0,nonSMSA,0,,Operatives,union,11.851846,48.0,20.391026,16.5
739,1784,35,black,single,0,14.0,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,9.677936,40.0,14.519232,4.4166665
740,1785,39,black,single,1,11.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,4.227053,40.0,15.647435,7.6666665
741,1786,43,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,4.790658,40.0,7.7179484,1.9166666
742,1787,38,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,4.7262473,35.0,7.826923,1.5
743,1788,37,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,2.777777,20.0,5.3525643,0.75
744,1790,40,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,,3.5842295,15.0,8.089744,0.5833333
